relato,tipo_caso
"Comprei um produto na loja e ele veio com defeito, a empresa se recusa a trocar ou devolver meu dinheiro",Direito do Consumidor
"Fui demitido sem justa causa e a empresa não pagou minhas verbas rescisórias corretamente",Direito Trabalhista
"Meu marido pediu o divórcio e precisamos dividir os bens e definir a guarda dos filhos",Direito de Família
"O banco cobrou tarifas indevidas na minha conta e negativou meu nome no SPC sem motivo",Direito Bancário
"O produto que recebi estava vencido e causou intoxicação alimentar, a empresa não quer me indenizar",Direito do Consumidor
"Trabalhei horas extras por dois anos e nunca recebi o pagamento correto dessas horas",Direito Trabalhista
"Minha ex-esposa está impedindo que eu veja meus filhos nos dias combinados na guarda compartilhada",Direito de Família
"Fiz um empréstimo e o banco está cobrando juros muito acima do contratado",Direito Bancário
"A empresa de internet cortou meu serviço sem aviso prévio mesmo estando em dia com os pagamentos",Direito do Consumidor
"Fui dispensado durante o período de estabilidade após acidente de trabalho",Direito Trabalhista
"Meu pai faleceu e os herdeiros estão disputando a partilha dos bens do inventário",Direito de Família
"O banco debitou valores indevidos da minha conta poupança sem autorização",Direito Bancário
"A companhia aérea cancelou meu voo e não me ofereceu reacomodação nem reembolso",Direito do Consumidor
"A empresa não assinou minha carteira de trabalho durante os dois anos que trabalhei lá",Direito Trabalhista
"Quero reconhecer a paternidade do meu filho e registrá-lo com meu sobrenome",Direito de Família
"Recebi cobrança de dívida que já foi paga há mais de três anos e o banco insiste na negativação",Direito Bancário
"Comprei um carro com defeito de fábrica e a concessionária se recusa a fazer o recall",Direito do Consumidor
"Fui vítima de assédio moral no trabalho por parte do meu supervisor direto",Direito Trabalhista
"Preciso de pensão alimentícia para meus filhos após a separação do meu marido",Direito de Família
"O banco recusou meu crédito de forma discriminatória sem apresentar justificativa",Direito Bancário
"A operadora de plano de saúde negou cobertura para cirurgia indicada pelo médico",Direito do Consumidor
"Fui demitido por justa causa de forma injusta e sem processo disciplinar adequado",Direito Trabalhista
"Minha mãe está sofrendo violência doméstica e preciso de medida protetiva urgente",Direito de Família
"O banco aplicou juros abusivos no meu cartão de crédito ultrapassando o limite legal",Direito Bancário
"A loja online não entregou o produto no prazo e se recusa a cancelar e reembolsar",Direito do Consumidor
"Não recebi o 13º salário proporcional na rescisão do contrato de trabalho",Direito Trabalhista
"Preciso revisar o contrato de alimentos pois minha situação financeira mudou muito",Direito de Família
"Fui vítima de fraude bancária e o banco não quer ressarcir os valores subtraídos",Direito Bancário
"A empresa de telecomunicações continua cobrando serviços que cancelei há meses",Direito do Consumidor
"Trabalhei em condições insalubres e nunca recebi o adicional de insalubridade",Direito Trabalhista
"Meu cônjuge está escondendo bens para não dividi-los no processo de divórcio",Direito de Família
"O banco negativou meu nome por uma dívida que não é minha, fui vítima de fraude de identidade",Direito Bancário
"Comprei um imóvel na planta e a construtora atrasou a entrega em mais de dois anos",Direito do Consumidor
"A empresa não depositou o FGTS durante os cinco anos que trabalhei lá",Direito Trabalhista
"Preciso adotar uma criança que está sob minha guarda há três anos",Direito de Família
"O banco está cobrando seguro prestamista que nunca contratei junto ao meu financiamento",Direito Bancário
"Fui cobrado em duplicidade por um serviço e a empresa se recusa a devolver o valor",Direito do Consumidor
"Fui dispensado por discriminação de gênero e tenho provas do tratamento diferenciado",Direito Trabalhista
"Meu irmão está tentando me excluir da herança de forma ilegal",Direito de Família
"Recebi boleto falso que parecia do banco e fiz o pagamento, quero ser ressarcido",Direito Bancário
